Date : 2025-06-24 23:12:53
Directory : /home/manodeep/projects/iit_bhilai_2025/llm_security/rep
Total : 66 files,  67638 codes, 971 comments, 1230 blanks, all 69839 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |         23 |     65,789 |          0 |         21 |     65,810 |
| Python   |         21 |      1,412 |        968 |      1,115 |      3,495 |
| HTML     |         13 |        198 |          0 |         59 |        257 |
| Markdown |          8 |        146 |          0 |         17 |        163 |
| PostCSS  |          1 |         93 |          3 |         18 |        114 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                              |         66 |     67,638 |        971 |      1,230 |     69,839 |
| . (Files)                                                                                                                                                                                      |         10 |      4,551 |        527 |        487 |      5,565 |
| data                                                                                                                                                                                           |          6 |         94 |          0 |          0 |         94 |
| data/executable_workflows                                                                                                                                                                      |          1 |         21 |          0 |          0 |         21 |
| data/extracted_task_workflows                                                                                                                                                                  |          5 |         73 |          0 |          0 |         73 |
| html_files                                                                                                                                                                                     |         16 |        475 |         17 |        127 |        619 |
| html_files (Files)                                                                                                                                                                             |          2 |        184 |         14 |         50 |        248 |
| html_files/static                                                                                                                                                                              |          1 |         93 |          3 |         18 |        114 |
| html_files/templates                                                                                                                                                                           |         13 |        198 |          0 |         59 |        257 |
| models                                                                                                                                                                                         |         21 |     61,781 |          0 |         19 |     61,800 |
| models/models--Salesforce--blip-image-captioning-base                                                                                                                                          |         11 |     30,886 |          0 |         10 |     30,896 |
| models/models--Salesforce--blip-image-captioning-base/.no_exist                                                                                                                                |          6 |          0 |          0 |          6 |          6 |
| models/models--Salesforce--blip-image-captioning-base/.no_exist/82a37760796d32b1411fe092ab5d4e227313294b                                                                                       |          6 |          0 |          0 |          6 |          6 |
| models/models--Salesforce--blip-image-captioning-base/snapshots                                                                                                                                |          5 |     30,886 |          0 |          4 |     30,890 |
| models/models--Salesforce--blip-image-captioning-base/snapshots/82a37760796d32b1411fe092ab5d4e227313294b                                                                                       |          5 |     30,886 |          0 |          4 |     30,890 |
| models/models--Salesforce--blip-image-captioning-large                                                                                                                                         |         10 |     30,895 |          0 |          9 |     30,904 |
| models/models--Salesforce--blip-image-captioning-large/.no_exist                                                                                                                               |          5 |          0 |          0 |          5 |          5 |
| models/models--Salesforce--blip-image-captioning-large/.no_exist/353689b859fcf0523410b1806dace5fb46ecdf41                                                                                      |          5 |          0 |          0 |          5 |          5 |
| models/models--Salesforce--blip-image-captioning-large/snapshots                                                                                                                               |          5 |     30,895 |          0 |          4 |     30,899 |
| models/models--Salesforce--blip-image-captioning-large/snapshots/353689b859fcf0523410b1806dace5fb46ecdf41                                                                                      |          5 |     30,895 |          0 |          4 |     30,899 |
| scripts                                                                                                                                                                                        |          1 |          0 |          0 |          1 |          1 |
