"filename", "language", "Python", "Markdown", "JSON", "PostCSS", "HTML", "comment", "blank", "total"
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/EXECUTE AGENT.ipynb", "JSON", 0, 0, 1659, 0, 0, 0, 1, 1660
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/EXPLOIT AGENT.ipynb", "JSON", 0, 0, 1746, 0, 0, 0, 1, 1747
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1, 2
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/actuators.py", "Python", 0, 0, 0, 0, 0, 1, 4, 5
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/executable_workflows/Workflow_2.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 21
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_0.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 16
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_1.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 8
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_2.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 21
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_3.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 17
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_4.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 11
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/flask_demo_app/app.py", "Python", 92, 0, 0, 0, 0, 7, 25, 124
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/flask_demo_app/static/style.css", "PostCSS", 0, 0, 0, 93, 0, 3, 18, 114
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/flask_demo_app/templates/add_contact.html", "HTML", 0, 0, 0, 0, 14, 0, 7, 21
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/flask_demo_app/templates/add_ticket.html", "HTML", 0, 0, 0, 0, 16, 0, 7, 23
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/flask_demo_app/templates/contacts.html", "HTML", 0, 0, 0, 0, 26, 0, 5, 31
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/flask_demo_app/templates/dashboard.html", "HTML", 0, 0, 0, 0, 10, 0, 3, 13
"/home/manodeep/projects/iit_bhilai_2025/llm_security/rep/flask_demo_app/templates/delete_contact.html", "HTML", 0, 0, 0, 0, 10, 0, 4, 14
